LGA_CODE_2021,C11_Aus_BP_B_OS,C11_Aus_Fa_O_B_OS,C11_Aus_Mo_O_B_OS,C11_Aus_BP_B_Aus,C11_Aus_Bplace_NS,C11_Aus_Tot_resp,C11_Aus_Ab_BP_B_OS,C11_Aus_Ab_Fa_O_B_OS,C11_Aus_Ab_Mo_O_B_OS,C11_Aus_Ab_BP_B_Aus,C11_Aus_Abor_Bplace_NS,C11_Aus_Abor_Tot_respons,C11_Chi_BP_B_OS,C11_Chi_Fa_O_B_OS,C11_Chi_Mo_O_B_OS,C11_Chi_BP_B_Aus,C11_Chi_Bplace_NS,C11_Chi_Tot_resp,C11_Cro_BP_B_OS,C11_Cro_Fa_O_B_OS,C11_Cro_Mo_O_B_OS,C11_Cro_BP_B_Aus,C11_Cro_Bplace_NS,C11_Cro_Tot_resp,C11_Dut_BP_B_OS,C11_Dut_Fa_O_B_OS,C11_Dut_Mo_O_B_OS,C11_Dut_BP_B_Aus,C11_Dut_Bplace_NS,C11_Dut_Tot_resp,C11_Eng_BP_B_OS,C11_Eng_Fa_O_B_OS,C11_Eng_Mo_O_B_OS,C11_Eng_BP_B_Aus,C11_Eng_Bplace_NS,C11_Eng_Tot_resp,C11_Fil_BP_B_OS,C11_Fil_Fa_O_B_OS,C11_Fil_Mo_O_B_OS,C11_Fil_BP_B_Aus,C11_Fil_Bplace_NS,C11_Fil_Tot_resp,C11_Fre_BP_B_OS,C11_Fre_Fa_O_B_OS,C11_Fre_Mo_O_B_OS,C11_Fre_BP_B_Aus,C11_Fre_Bplace_NS,C11_Fre_Tot_resp,C11_Ger_BP_B_OS,C11_Ger_Fa_O_B_OS,C11_Ger_Mo_O_B_OS,C11_Ger_BP_B_Aus,C11_Ger_Bplace_NS,C11_Ger_Tot_resp,C11_Gre_BP_B_OS,C11_Gre_Fa_O_B_OS,C11_Gre_Mo_O_B_OS,C11_Gre_BP_B_Aus,C11_Gre_Bplace_NS,C11_Gre_Tot_resp,C11_Hun_BP_B_OS,C11_Hun_Fa_O_B_OS,C11_Hun_Mo_O_B_OS,C11_Hun_BP_B_Aus,C11_Hun_Bplace_NS,C11_Hun_Tot_resp,C11_Ind_BP_B_OS,C11_Ind_Fa_O_B_OS,C11_Ind_Mo_O_B_OS,C11_Ind_BP_B_Aus,C11_Ind_Bplace_NS,C11_Ind_Tot_resp,C11_Iri_BP_B_OS,C11_Iri_Fa_O_B_OS,C11_Iri_Mo_O_B_OS,C11_Iri_BP_B_Aus,C11_Iri_Bplace_NS,C11_Iri_Tot_resp,C11_Ita_BP_B_OS,C11_Ita_Fa_O_B_OS,C11_Ita_Mo_O_B_OS,C11_Ita_BP_B_Aus,C11_Ita_Bplace_NS,C11_Ita_Tot_resp,C11_Kor_BP_B_OS,C11_Kor_Fa_O_B_OS,C11_Kor_Mo_O_B_OS,C11_Kor_BP_B_Aus,C11_Kor_Bplace_NS,C11_Kor_Tot_resp,C11_Leb_BP_B_OS,C11_Leb_Fa_O_B_OS,C11_Leb_Mo_O_B_OS,C11_Leb_BP_B_Aus,C11_Leb_Bplace_NS,C11_Leb_Tot_resp,C11_Mac_BP_B_OS,C11_Mac_Fa_O_B_OS,C11_Mac_Mo_O_B_OS,C11_Mac_BP_B_Aus,C11_Mac_Bplace_NS,C11_Mac_Tot_resp,C11_Mal_BP_B_OS,C11_Mal_Fa_O_B_OS,C11_Mal_Mo_O_B_OS,C11_Mal_BP_B_Aus,C11_Mal_Bplace_NS,C11_Mal_Tot_resp,C11_Mao_BP_B_OS,C11_Mao_Fa_O_B_OS,C11_Mao_Mo_O_B_OS,C11_Mao_BP_B_Aus,C11_Mao_Bplace_NS,C11_Mao_Tot_resp,C11_NZ_BP_B_OS,C11_NZ_Fa_O_B_OS,C11_NZ_Mo_O_B_OS,C11_NZ_BP_B_Aus,C11_NZ_Bplace_NS,C11_NZ_Tot_resp,C11_Pol_BP_B_OS,C11_Pol_Fa_O_B_OS,C11_Pol_Mo_O_B_OS,C11_Pol_BP_B_Aus,C11_Pol_Bplace_NS,C11_Pol_Tot_resp,C11_Rus_BP_B_OS,C11_Rus_Fa_O_B_OS,C11_Rus_Mo_O_B_OS,C11_Rus_BP_B_Aus,C11_Rus_Birthplac_ns,C11_Rus_Tot_resp,C11_Sam_BP_B_OS,C11_Sam_Fa_O_B_OS,C11_Sam_Mo_O_B_OS,C11_Sam_BP_B_Aus,C11_Sam_Birthplac_ns,C11_Sam_Tot_resp,C11_Sco_BP_B_OS,C11_Sco_Fa_O_B_OS,C11_Sco_Mo_O_B_OS,C11_Sco_BP_B_Aus,C11_Sco_Birthplac_ns,C11_Sco_Tot_resp,C11_Ser_BP_B_OS,C11_Ser_Fa_O_B_OS,C11_Ser_Mo_O_B_OS,C11_Ser_BP_B_Aus,C11_Ser_Bplace_NS,C11_Ser_Tot_resp,C11_SAf_BP_B_OS,C11_SAf_Fa_O_B_OS,C11_SAf_Mo_O_B_OS,C11_SAf_BP_B_Aus,C11_SAf_Bplace_NS,C11_SAf_Tot_resp,C11_Span_BP_B_OS,C11_Span_Fa_O_B_OS,C11_Span_Mo_O_B_OS,C11_Span_BP_B_Aus,C11_Span_Bplace_NS,C11_Span_Tot_resp,C11_SriL_BP_B_OS,C11_SriL_Fa_O_B_OS,C11_SriL_Mo_O_B_OS,C11_SriL_BP_B_Aus,C11_SriL_Bplace_NS,C11_SriL_Tot_resp,C11_Viet_BP_B_OS,C11_Viet_Fa_O_B_OS,C11_Viet_Mo_O_B_OS,C11_Viet_BP_B_Aus,C11_Viet_Bplace_NS,C11_Viet_Tot_resp,C11_Wel_BP_B_OS,C11_Wel_Fa_O_B_OS,C11_Wel_Mo_O_B_OS,C11_Wel_BP_B_Aus,C11_Wel_Bplace_NS,C11_Wel_Tot_resp,C11_Oth_BP_B_OS,C11_Oth_Fa_O_B_OS,C11_Oth_Mo_O_B_OS,C11_Oth_BP_B_Aus,C11_Oth_Bplace_NS,C11_Oth_Tot_resp,C11_Anc_ns_BP_B_OS,C11_Anc_ns_Fa_O_B_OS,C11_Anc_ns_Mo_O_B_OS,C11_Anc_ns_BP_B_Aus,C11_Anc_ns_Bplace_NS,C11_Anc_NS_Tot_resp,C11_Tot_P_BP_B_OS,C11_Tot_P_Fa_O_B_OS,C11_Tot_P_Mo_O_B_OS,C11_Tot_P_BP_B_Aus,C11_Tot_P_Bplace_NS,C11_Tot_P_Tot_resp,C16_Aus_BP_B_OS,C16_Aus_Fa_O_B_OS
LGA54830,320,1483,1094,6880,262,10039,0,5,10,94,4,113,307,9,8,29,10,363,79,28,15,32,5,159,320,90,69,125,10,614,4787,1315,1057,4574,297,12030,448,4,39,4,10,505,60,5,14,34,0,113,294,81,55,334,20,784,34,16,10,34,0,94,29,9,0,8,0,46,257,13,19,21,8,318,667,181,108,1031,38,2025,285,149,79,378,27,918,30,0,0,0,0,30,8,3,0,13,0,24,7,0,3,4,0,14,17,9,4,13,0,43,564,41,37,13,16,671,272,89,53,17,9,440,96,17,19,28,3,163,30,4,0,11,0,45,39,0,5,0,3,47,1014,255,177,891,61,2398,106,9,3,5,0,123,236,6,17,9,6,274,67,9,5,27,4,112,38,9,4,0,0,51,51,0,0,0,0,51,149,26,16,38,0,229,1689,249,174,216,56,2384,220,44,36,367,2618,3285,10309,2468,1880,11278,3294,29229,506,1751
LGA54900,0,41,51,513,0,605,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,14,4,3,12,0,33,111,44,48,397,8,608,33,0,4,0,0,37,0,0,0,0,0,0,11,0,0,25,0,36,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,20,12,8,91,0,131,6,0,0,16,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,19,5,9,0,0,33,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,20,6,10,106,0,142,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,9,11,4,5,9,0,29,0,0,4,24,51,79,235,82,87,898,63,1365,7,32
LGA54970,3,31,30,237,4,305,0,0,0,284,0,284,6,0,0,0,0,6,3,0,0,6,0,9,13,0,0,3,0,16,120,30,34,147,9,340,13,0,0,0,0,13,6,0,0,0,0,6,11,3,0,16,0,30,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,29,4,5,57,5,100,11,0,0,13,0,24,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,18,0,0,0,0,18,13,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,40,6,6,47,0,99,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,56,4,5,18,0,83,0,0,0,4,135,139,302,54,48,678,151,1233,5,32
LGA55040,15,75,62,548,22,722,0,0,0,72,0,72,8,0,0,0,0,8,7,0,0,3,0,10,19,6,11,11,0,47,228,65,54,402,25,774,21,0,0,0,0,21,7,0,0,6,0,13,19,4,5,38,0,66,4,0,0,0,0,4,3,0,3,0,0,6,9,0,0,0,0,9,48,7,9,105,0,169,9,12,3,29,0,53,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,7,0,0,0,0,0,0,83,0,0,0,6,89,30,0,0,0,0,30,6,0,5,3,0,14,0,0,0,0,0,0,4,4,0,0,0,8,73,21,10,94,0,198,0,0,0,0,0,0,9,0,4,0,0,13,5,4,0,5,0,14,0,0,0,0,0,0,4,0,0,0,0,4,9,3,0,7,0,19,77,7,8,16,0,108,4,3,0,18,638,663,567,134,107,1021,683,2512,9,48
LGA55110,447,3105,2399,19353,684,25988,0,3,8,112,10,133,367,25,25,66,18,501,125,32,22,86,3,268,807,193,141,268,32,1441,11819,3083,2355,14228,755,32240,438,7,53,17,18,533,166,25,19,118,3,331,645,163,150,1065,48,2071,58,35,8,79,0,180,65,12,3,24,3,107,283,23,13,20,7,346,1629,444,304,3416,149,5942,601,263,118,902,51,1935,44,6,4,0,0,54,13,4,0,7,0,24,16,10,0,13,0,39,60,26,14,37,0,137,759,71,65,40,16,951,542,151,107,27,27,854,210,37,28,104,3,382,76,17,17,24,4,138,99,5,5,0,3,112,2313,626,525,3052,145,6661,28,3,0,10,0,41,658,41,25,0,6,730,91,9,14,80,4,198,32,3,5,0,0,40,35,3,3,0,0,41,463,78,48,114,14,717,2088,374,232,394,75,3163,357,100,100,737,3980,5274,21129,5558,4183,33460,5577,69907,626,3731
LGA55180,57,406,321,2772,86,3642,0,4,0,14,0,18,22,0,0,10,0,32,42,6,5,22,0,75,74,36,3,39,0,152,990,429,329,2302,115,4165,34,0,6,0,0,40,14,0,0,24,0,38,93,36,23,186,3,341,20,9,3,13,0,45,3,0,0,3,0,6,29,0,8,0,0,37,124,61,45,567,18,815,218,92,27,314,12,663,4,0,3,0,0,7,9,0,0,0,0,9,117,13,10,47,3,190,10,0,0,0,0,10,8,8,7,0,0,23,50,13,7,0,4,74,39,3,4,14,0,60,4,3,0,0,0,7,0,0,0,0,0,0,232,106,74,522,20,954,0,0,0,4,0,4,25,0,3,0,0,28,3,5,0,5,0,13,0,0,0,0,0,0,8,0,0,0,0,8,27,10,3,18,0,58,226,50,24,91,6,397,29,14,5,136,334,518,2083,809,558,5189,546,9185,67,408
LGA55250,3,33,40,391,18,485,0,0,0,125,0,125,8,0,0,5,0,13,0,0,0,0,0,0,12,3,0,0,0,15,84,26,33,191,9,343,8,0,3,0,0,11,0,0,0,0,0,0,7,0,6,16,0,29,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,20,4,0,59,3,86,7,3,0,7,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,18,0,0,0,0,18,3,0,0,3,0,6,0,0,0,0,0,0,3,0,0,0,0,3,16,4,4,41,0,65,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,9,19,0,69,3,0,0,88,248,339,223,49,53,775,271,1371,0,25
LGA55320,707,4399,3336,19979,530,28951,0,5,0,69,0,74,8345,131,226,105,141,8948,549,148,80,316,11,1104,931,278,134,369,20,1732,12448,3854,2929,14693,657,34581,451,5,45,5,7,513,453,44,35,141,8,681,1036,222,183,1107,33,2581,270,62,34,202,4,572,114,24,10,38,6,192,1991,85,57,25,32,2190,2433,781,530,4713,146,8603,2550,770,341,2149,81,5891,515,0,8,3,20,546,148,18,25,19,0,210,87,7,9,29,0,132,100,33,4,31,0,168,209,23,13,3,4,252,657,172,121,24,14,988,453,80,59,107,5,704,175,11,19,23,0,228,38,11,6,0,3,58,3190,947,645,3777,114,8673,152,9,5,14,0,180,1074,80,58,16,9,1237,236,13,16,80,4,349,371,27,10,3,6,417,190,8,4,0,4,206,483,109,72,225,11,900,6761,709,604,612,147,8833,460,106,87,539,3496,4688,40841,7966,5777,36017,5098,95699,757,4272
LGA55390,0,0,4,73,0,77,0,0,0,197,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,5,53,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,20,26,21,11,6,327,19,384,0,6
LGA55460,17,131,125,1177,47,1497,0,5,0,25,0,30,73,0,0,5,8,86,10,3,0,3,0,16,31,13,8,20,0,72,254,140,106,758,39,1297,20,0,0,0,0,20,0,0,0,0,0,0,14,10,3,64,6,97,0,0,0,0,0,0,3,0,0,0,0,3,14,0,0,0,0,14,28,21,13,199,5,266,44,26,5,69,3,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,16,4,6,3,0,29,21,8,15,0,0,44,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,63,29,12,163,3,270,0,0,0,0,0,0,10,4,0,0,0,14,0,4,0,11,0,15,3,0,0,0,0,3,5,0,0,0,0,5,6,0,0,12,0,18,82,10,4,25,3,124,12,3,4,51,152,222,625,254,189,1981,232,3281,23,140
LGA55530,0,15,16,218,5,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,23,17,19,128,0,187,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,7,40,0,66,5,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,23,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,12,0,0,5,11,14,30,44,33,38,345,29,489,4,7
LGA55600,11,87,78,1045,30,1251,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,4,0,4,36,7,8,27,0,78,162,78,71,643,17,971,16,0,0,0,0,16,3,0,0,0,0,3,14,4,5,44,0,67,4,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,7,34,9,7,141,3,194,15,3,6,33,4,61,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,30,0,0,0,0,30,7,5,0,0,0,12,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,52,19,20,132,0,223,0,0,0,0,0,0,6,0,0,0,0,6,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,8,27,9,5,19,0,60,10,4,6,44,113,177,377,146,115,1676,158,2472,12,92
LGA55670,5,35,34,360,29,463,0,0,0,9,0,9,3,0,0,0,0,3,0,0,0,0,0,0,11,0,0,5,0,16,54,32,28,213,13,340,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,31,0,43,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,6,5,3,60,0,74,4,4,0,10,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,3,64,0,104,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,17,0,8,4,0,29,4,0,0,13,39,56,118,60,53,582,80,893,6,34
LGA55740,53,430,319,1834,57,2693,0,0,0,10,0,10,230,0,11,6,0,247,26,4,8,26,3,67,72,20,14,20,0,126,1207,403,263,1561,53,3487,54,6,9,0,0,69,49,4,6,12,0,71,147,34,27,91,3,302,31,10,5,43,0,89,14,0,0,5,0,19,105,3,3,8,5,124,301,76,58,524,15,974,112,35,20,101,0,268,18,0,0,0,0,18,4,0,0,9,0,13,8,0,4,4,0,16,3,0,0,0,0,3,35,3,0,0,0,38,53,23,14,5,0,95,57,5,6,10,7,85,21,0,0,8,0,29,12,0,0,0,0,12,281,113,61,483,16,954,13,0,0,0,0,13,90,11,9,0,0,110,24,5,0,0,0,29,18,0,5,0,0,23,16,0,0,0,0,16,38,6,7,14,0,65,651,70,56,49,11,837,52,3,8,55,513,631,3126,766,545,3524,639,8600,80,438
LGA55810,0,11,14,263,22,310,0,0,0,8,0,8,4,0,0,0,0,4,0,0,0,0,0,0,4,0,3,0,0,7,30,16,14,113,8,181,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,11,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,7,40,6,65,6,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,4,19,0,45,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,17,0,5,3,0,25,4,0,0,17,56,77,91,28,33,405,90,647,5,20
LGA55880,3,24,13,183,5,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,35,29,10,165,8,247,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,13,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,47,0,3,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,4,3,38,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,4,6,10,60,38,21,347,19,485,0,20
LGA55950,0,16,27,184,4,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,38,26,24,175,4,267,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,31,0,43,5,4,0,11,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,5,40,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,7,0,0,0,7,0,7,60,31,41,346,13,491,0,23
LGA56090,271,1939,1588,9294,251,13343,0,0,3,53,3,59,136,27,22,31,4,220,133,42,22,69,8,274,551,123,64,174,16,928,6369,1892,1357,6404,320,16342,137,6,10,6,0,159,135,21,20,56,0,232,509,125,84,548,27,1293,55,24,16,59,0,154,56,12,4,13,0,85,162,16,22,21,0,221,883,289,193,1687,66,3118,691,213,97,655,41,1697,9,0,4,0,0,13,3,0,0,8,0,11,12,6,6,9,0,33,31,10,6,27,0,74,170,22,18,4,6,220,316,85,65,18,4,488,256,45,8,62,0,371,37,7,10,10,4,68,4,0,0,0,0,4,1184,358,251,1536,58,3387,23,7,0,0,0,30,157,24,19,0,0,200,40,8,5,16,0,69,15,0,0,9,0,24,30,0,0,0,0,30,215,59,33,98,3,408,1192,228,151,231,35,1837,147,55,49,353,2980,3584,11321,3381,2450,15746,3634,36532,283,2101
LGA56160,0,4,0,22,0,26,0,0,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,21,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,14,14,16,4,0,79,14,113,0,0
LGA56230,87,667,549,4511,154,5968,0,0,3,31,3,37,41,0,0,12,0,53,19,12,0,12,0,43,148,43,17,75,6,289,2050,658,565,3145,150,6568,47,0,0,0,0,47,20,3,0,19,0,42,112,41,36,218,8,415,7,6,3,9,0,25,11,3,0,5,0,19,29,9,0,5,0,43,289,94,95,693,25,1196,127,47,23,210,8,415,12,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,0,3,12,3,0,0,4,19,57,15,5,4,4,85,84,32,8,3,0,127,29,6,6,16,0,57,8,0,3,3,0,14,0,0,0,0,0,0,406,167,90,638,23,1324,0,0,0,0,0,0,30,9,3,0,4,46,5,0,0,15,0,20,4,0,0,0,0,4,3,0,4,0,0,7,56,9,10,27,3,105,258,56,42,87,3,446,48,31,16,238,778,1111,3300,1182,915,7647,1104,14148,102,841
LGA56300,11,69,50,377,15,522,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,9,4,4,3,0,20,198,59,53,309,10,629,0,0,0,0,0,0,5,0,0,4,0,9,17,4,0,23,0,44,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,34,9,13,80,6,142,12,7,0,34,5,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,17,0,4,0,0,21,3,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,52,9,10,75,0,146,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,4,0,24,32,5,5,17,0,59,4,0,0,10,42,56,335,102,86,665,72,1260,12,65
LGA56370,4,16,13,300,4,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,3,64,23,11,254,6,358,6,0,0,0,0,6,0,0,0,0,0,0,5,0,3,26,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,37,0,51,12,7,0,22,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,6,19,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,4,4,37,0,60,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,8,0,22,3,6,0,11,40,60,136,62,31,527,61,817,10,37
LGA56460,24,206,188,1994,48,2460,0,0,0,23,0,23,25,0,0,6,0,31,4,0,0,0,0,4,50,7,6,42,0,105,401,213,180,1238,49,2081,36,0,9,0,0,45,9,0,0,12,0,21,32,13,8,95,3,151,0,0,0,0,0,0,3,0,0,0,0,3,19,0,6,0,0,25,67,31,22,300,9,429,52,14,13,93,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,14,4,4,0,46,18,20,13,3,0,54,45,5,4,16,0,70,6,0,0,0,0,6,0,0,0,0,0,0,75,50,37,241,4,407,9,0,0,0,0,9,37,0,0,4,0,41,13,0,6,5,0,24,4,0,0,0,0,4,11,0,0,0,4,15,8,6,0,17,0,31,118,22,11,40,5,196,17,8,3,93,194,315,903,371,316,3204,302,5096,19,205
LGA56580,154,1004,852,4534,87,6631,0,0,0,0,0,0,1530,67,84,32,29,1742,61,11,12,56,0,140,246,67,32,57,5,407,2635,876,674,3646,86,7917,30,3,11,0,0,44,154,13,15,22,0,204,260,55,46,233,15,609,90,39,16,110,0,255,28,0,4,13,0,45,355,21,8,17,5,406,527,174,150,1263,29,2143,255,120,51,267,7,700,35,5,4,0,0,44,10,9,0,12,0,31,9,4,5,10,0,28,18,3,0,10,0,31,13,5,3,3,6,30,104,42,24,6,7,183,101,25,17,37,0,180,36,4,14,6,0,60,0,0,0,0,0,0,780,256,188,1034,25,2283,21,0,8,0,0,29,229,7,19,0,0,255,36,5,4,16,0,61,93,10,3,0,0,106,53,0,7,0,0,60,93,28,22,47,0,190,1391,185,144,144,40,1904,94,17,20,98,713,942,7828,1816,1434,8366,982,20426,189,1082
LGA56620,0,12,3,65,0,80,0,0,3,1162,5,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,19,6,4,45,0,74,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,19,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,4,13,0,37,0,0,0,28,52,80,61,21,12,1291,54,1439,0,5
