LGA_CODE_2021,LGA_NAME_2021,Negative_income,Nil_income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)",Partial_income_stated,All_incomes_not_stated,Not_applicable,Total
56860,Nungarin,0,3,0,0,4,5,5,9,13,8,6,3,0,3,5,4,0,3,0,0,0,0,11,3,44,135
56930,Peppermint Grove,0,10,0,6,3,9,18,9,7,13,20,16,14,39,15,25,13,15,65,38,60,86,44,5,91,615
57000,Perenjori,0,0,0,3,0,12,3,10,4,17,17,14,13,23,6,8,5,0,7,7,0,6,5,13,80,254
57080,Perth,45,366,104,251,395,441,437,417,560,827,847,813,809,1796,658,861,386,203,1051,344,305,126,650,391,4543,17636
57140,Pingelly,7,5,5,6,18,47,29,48,35,37,33,17,18,33,15,24,3,0,4,8,0,6,30,15,114,553
57210,Plantagenet,10,24,12,31,55,197,127,180,163,151,141,92,95,179,121,72,36,11,51,25,16,14,170,56,636,2676
57280,Port Hedland,19,49,19,63,85,77,79,125,116,184,214,245,285,769,347,584,342,157,536,302,263,67,432,356,2223,7942
57350,Quairading,0,4,0,5,11,25,20,28,28,26,20,19,16,22,9,13,6,0,6,3,3,3,26,14,177,499
57420,Ravensthorpe,5,9,9,13,24,62,32,51,51,44,50,45,56,119,47,59,16,9,48,8,3,8,69,33,544,1405
57490,Rockingham,146,561,247,534,1013,2522,2166,2827,2812,3121,3146,2810,2635,5575,3567,3235,1897,971,1560,1114,535,133,4893,820,6067,54910
57630,Sandstone,0,3,0,4,5,6,0,4,4,6,0,7,3,9,5,0,0,0,0,0,0,4,0,0,22,94
57700,Serpentine-Jarrahdale,23,89,45,77,117,273,252,442,424,570,655,597,669,1406,982,803,431,228,367,325,162,63,1129,139,967,11234
57770,Shark Bay,3,22,11,11,21,61,27,107,71,81,78,39,56,88,58,46,21,14,35,17,10,8,49,151,217,1295
57840,South Perth,70,326,141,259,387,835,782,730,839,1043,1100,952,884,1853,990,1106,657,396,1285,858,856,325,1028,246,2952,20882
57910,Stirling,311,1262,595,1348,2188,5300,3808,4545,4928,5993,6200,5079,4694,9782,5535,5647,3553,1977,4541,3287,2746,957,5389,1336,11186,102177
57980,Subiaco,23,106,51,101,209,371,330,288,320,411,415,367,373,795,370,426,295,150,749,400,459,182,350,104,1179,8829
58050,Swan,182,608,305,563,975,2231,1741,2599,2783,3682,3912,3244,3161,6874,4547,3511,2118,1150,1528,1190,674,189,4565,1110,5473,58928
58190,Tammin,0,0,4,4,4,19,10,10,7,10,11,5,7,11,13,3,5,0,0,0,0,0,15,3,98,238
58260,Three Springs,0,5,3,0,8,20,13,7,18,16,16,18,6,29,8,9,10,0,3,7,0,4,23,3,97,319
58330,Toodyay,10,29,13,26,42,155,81,139,143,133,128,79,87,168,95,92,49,16,44,24,7,7,182,51,587,2382
58400,Trayning,0,0,5,3,10,22,4,9,18,15,8,7,5,7,3,0,0,0,3,0,0,0,14,11,115,253
58470,Upper Gascoyne,0,4,0,3,0,9,3,6,6,8,10,11,7,15,4,13,0,0,4,4,4,0,5,12,27,159
58510,Victoria Park,58,242,97,220,421,818,753,693,800,938,1011,876,770,1815,997,1028,660,361,851,512,400,81,924,226,2472,18019
58540,Victoria Plains,0,0,0,3,11,14,4,21,18,25,23,23,14,23,20,18,4,6,20,5,5,4,34,24,91,411
58570,Vincent,33,203,80,174,353,623,504,589,630,863,897,816,805,1780,988,1118,720,389,1200,751,813,235,890,190,2574,18208
58610,Wagin,0,7,12,16,18,68,41,64,45,56,35,36,38,59,43,20,16,7,16,5,3,3,49,27,194,888
58680,Wandering,0,0,0,3,4,5,3,11,16,7,10,8,10,23,7,14,6,3,5,0,3,3,28,14,75,260
58760,Wanneroo,225,808,318,674,1219,2999,2478,3578,3829,4478,4933,4167,4107,8795,6214,5132,3032,1632,2432,1746,1015,234,6475,1102,6438,78061
58820,Waroona,6,30,20,29,50,118,79,122,107,105,95,66,79,154,90,79,40,22,61,22,22,8,162,55,592,2224
58890,West Arthur,3,0,0,8,0,19,11,22,19,35,23,16,15,28,6,19,3,5,13,0,4,0,28,11,73,376
59030,Westonia,0,0,0,4,0,13,5,9,4,7,9,4,3,8,8,0,0,0,4,0,0,0,3,7,35,147
