SA3_CODE_2021,SA3_NAME_2021,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)",Partial income stated,All incomes not stated,Not applicable,Total
20402,Wangaratta - Benalla,95,224,147,297,563,1639,1103,1618,1565,1669,1536,1113,1019,2000,1220,896,482,236,383,223,162,78,959,600,3027,22859
20403,Wodonga - Alpine,100,283,186,343,737,2014,1453,2109,2137,2353,2464,1726,1741,3499,2119,1553,946,435,697,396,294,135,1361,699,5175,34969
20501,Baw Baw,94,268,163,294,468,1357,1079,1567,1544,1642,1633,1273,1333,2467,1540,1199,621,345,589,353,215,117,1003,542,2893,24588
20502,Gippsland - East,130,288,194,342,640,1849,1295,2039,1782,1759,1700,1059,1052,1747,993,679,353,165,303,170,123,71,976,682,5712,26092
20503,Gippsland - South West,141,478,302,472,869,2556,1801,2479,2436,2542,2337,1531,1609,2736,1519,1249,675,302,679,354,238,169,1344,935,16528,46285
20504,Latrobe Valley,165,453,224,538,1094,2729,1784,2362,2463,2382,2313,1629,1587,2901,1802,1432,710,454,725,476,245,85,1408,975,4700,35630
20505,Wellington,104,290,151,279,548,1517,954,1436,1393,1424,1401,950,985,1738,977,752,407,238,444,251,146,83,922,526,5649,23547
20601,Brunswick - Coburg,107,555,202,480,847,1726,1130,1640,1750,2225,2469,2337,2195,4739,2656,2868,1951,1120,2115,1401,1354,329,1586,514,5777,44082
20602,Darebin - South,61,267,139,238,548,1084,719,944,992,1211,1254,1187,1163,2322,1352,1546,1089,681,1362,1130,1258,350,899,251,2938,24997
20603,Essendon,99,414,187,443,697,1286,875,1136,1391,1785,1821,1598,1501,3108,1775,1829,1227,723,1748,1342,1478,524,1024,427,5041,33474
